1.23.132.0/22,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
1.23.136.0/22,1268295.0,1269750.0,,0,0,421301,19.2463,73.1315,100.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Kalyān,,Asia/Kolkata,0.0
1.23.140.0/22,1253405.0,1269750.0,,0,0,221001,25.2979,82.9956,5.0,,en,AS,Asia,IN,India,UP,Uttar Pradesh,,,Varanasi,,Asia/Kolkata,0.0
1.23.144.0/21,1259229.0,1269750.0,,0,0,411005,18.6161,73.7286,10.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Pune,,Asia/Kolkata,0.0
1.23.152.0/21,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
1.23.160.0/21,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
1.23.168.0/22,1275004.0,1269750.0,,0,0,700014,22.518,88.3832,5.0,,en,AS,Asia,IN,India,WB,West Bengal,,,Kolkata,,Asia/Kolkata,0.0
1.23.172.0/23,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
1.23.174.0/23,1277333.0,1269750.0,,0,0,560067,12.9634,77.5855,500.0,,en,AS,Asia,IN,India,KA,Karnataka,,,Bengaluru,,Asia/Kolkata,0.0
1.23.176.0/20,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
1.23.192.0/22,1259229.0,1269750.0,,0,0,411005,18.6161,73.7286,5.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Pune,,Asia/Kolkata,0.0
1.23.196.0/24,1259229.0,1269750.0,,0,0,411005,18.6161,73.7286,5.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Pune,,Asia/Kolkata,0.0
1.23.197.0/24,1259229.0,1269750.0,,0,0,411005,18.6161,73.7286,100.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Pune,,Asia/Kolkata,0.0
1.23.198.0/23,1259229.0,1269750.0,,0,0,411005,18.6161,73.7286,50.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Pune,,Asia/Kolkata,0.0
1.23.200.0/21,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
1.23.208.0/21,1259229.0,1269750.0,,0,0,411001,18.6161,73.7286,1000.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Pune,,Asia/Kolkata,0.0
1.23.216.0/21,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
1.23.224.0/21,1259229.0,1269750.0,,0,0,411001,18.6161,73.7286,5.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Pune,,Asia/Kolkata,0.0
1.23.232.0/22,1259229.0,1269750.0,,0,0,411001,18.6161,73.7286,500.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Pune,,Asia/Kolkata,0.0
1.23.236.0/23,1270642.0,1269750.0,,0,0,122015,28.4597,77.0282,20.0,,en,AS,Asia,IN,India,HR,Haryana,,,Gurugram,,Asia/Kolkata,0.0
1.23.238.0/23,1259229.0,1269750.0,,0,0,411005,18.6161,73.7286,50.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Pune,,Asia/Kolkata,0.0
1.23.240.0/21,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
1.23.248.0/22,1275339.0,1269750.0,,0,0,400070,19.0748,72.8856,20.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Mumbai,,Asia/Kolkata,0.0
1.23.252.0/23,1259229.0,1269750.0,,0,0,411005,18.6161,73.7286,5.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Pune,,Asia/Kolkata,0.0
1.23.254.0/23,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
1.24.0.0/13,1814991.0,1814991.0,,0,0,,34.7732,113.722,1000.0,,en,AS,Asia,CN,China,,,,,,,Asia/Shanghai,0.0
1.32.0.0/22,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.4.0/25,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,10.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.4.128/25,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.5.0/24,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.6.0/23,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.8.0/22,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.12.0/23,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.14.0/24,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.15.0/26,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.15.64/26,1732905.0,1733045.0,,0,0,41300,3.0665,101.4682,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Klang,,Asia/Kuala_Lumpur,0.0
1.32.15.128/25,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.16.0/22,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.20.0/24,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.21.0/24,1763582.0,1733045.0,,0,0,73000,2.5687,102.1824,50.0,,en,AS,Asia,MY,Malaysia,05,Negeri Sembilan,,,Kampung Tampin,,Asia/Kuala_Lumpur,0.0
1.32.22.0/23,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.24.0/22,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.28.0/24,1735161.0,1733045.0,,0,0,50528,3.1408,101.6852,50.0,,en,AS,Asia,MY,Malaysia,14,Kuala Lumpur,,,Kuala Lumpur,,Asia/Kuala_Lumpur,0.0
1.32.29.0/24,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.30.0/23,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.32.0/22,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.36.0/24,1735161.0,1733045.0,,0,0,51000,3.1882,101.7007,20.0,,en,AS,Asia,MY,Malaysia,14,Kuala Lumpur,,,Kuala Lumpur,,Asia/Kuala_Lumpur,0.0
1.32.37.0/24,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.38.0/23,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
1.32.40.0/21,6930887.0,1733045.0,,0,0,63100,2.9304,101.6627,20.0,,en,AS,Asia,MY,Malaysia,10,Selangor,,,Cyberjaya,,Asia/Kuala_Lumpur,0.0
